what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1594953564673
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1594953605909
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1594953609827
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1594953633933
activated,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1594953636975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594953680382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594953686547
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1594953706958
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1594953708613
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1594953709763
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1594953712318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594953718404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594953724773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594953724842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594953728038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594953728493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594953730823
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1594953734865
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1594953736592
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1594953739724
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1594953749216
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1594953805817
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1594953809482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594953810822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594954203959
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1594954210809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594954228638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594954320979
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1594954322088
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1594954322204
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1594954322273
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1594954326295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594954337306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594954341183
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1594954341252
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1594954341685
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1594954341747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594954364319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594954420325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594954424998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594954440149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.help.aboutAction",1594954440165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594954441852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594962485859
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1594962494145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594962534706
