what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1594938518629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594938526854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594938693768
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1594938696303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594938715449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594938839746
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1594938859476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594938866395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594938869253
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1594938869300
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1594938869786
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1594938869855
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1594938895999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594938976516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594939038508
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1594939041271
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1594939048817
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1594939053912
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1594939056876
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1594939062228
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1594939064928
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1594939069092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594939073079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594939259200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594939285856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594939291493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1594939291509
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1594939293013
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1594939295665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594939298379
started,bundle,org.eclipse.wst.server.discovery,1.0.200.v20110518,"org.eclipse.wst.server.discovery",1594939320440
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1594939320471
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1594939320509
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.updatesite",1594939322197
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.publisher",1594939322207
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1594939322372
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1594939322488
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1594939322588
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1594939322720
